feature_set,representation,clustering_method,k,n_subjects,n_features_original,n_components_after_pca,pca_explained_variance_sum,cluster_sizes,min_cluster_size,max_cluster_size,min_cluster_ratio,max_cluster_ratio,size_imbalance_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,stability_ari_std,stability_n_runs,recommended_flag,exclusion_or_warning,stage5_nmi,selection_score
top20_biomarkers,scaled_only,KMeans,6,188,20,20,,0:57;1:17;2:32;3:6;4:39;5:37,6,57,0.031914893617021274,0.30319148936170215,9.5,0.17871907154276265,43.794683796334596,1.7744489911225207,0.6845717202398898,0.11055211661772776,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.46136307776777874,-inf
top20_biomarkers,scaled_only,GaussianMixture,6,188,20,20,,0:42;1:7;2:51;3:37;4:34;5:17,7,51,0.03723404255319149,0.2712765957446808,7.285714285714286,0.13288354116495973,43.171932191223846,1.721528776286427,0.5536495672907715,0.1012393362036544,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.4426143082471582,-inf
top20_biomarkers,scaled_only,AgglomerativeClustering,6,188,20,20,,0:59;1:61;2:16;3:2;4:39;5:11,2,61,0.010638297872340425,0.324468085106383,30.5,0.17235734551102724,40.33509046487571,1.6816665738409442,0.6094320533006929,0.13651648474818034,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.4695240205132274,-inf
top20_biomarkers,pca_5,KMeans,6,188,20,5,0.7966532283202867,0:38;1:39;2:53;3:6;4:17;5:35,6,53,0.031914893617021274,0.28191489361702127,8.833333333333334,0.2650073171331835,75.70288211050814,1.3415826364346903,0.7025733153468297,0.16120429382085505,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.45826106539432515,-inf
top20_biomarkers,pca_5,GaussianMixture,6,188,20,5,0.7966532283202867,0:35;1:13;2:5;3:85;4:18;5:32,5,85,0.026595744680851064,0.4521276595744681,17.0,0.09258843710215924,43.64013791846081,1.7293826317601662,0.36787447079142055,0.11923539894805714,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.3897106013696533,-inf
top20_biomarkers,pca_5,AgglomerativeClustering,6,188,20,5,0.7966532283202867,0:13;1:55;2:34;3:28;4:25;5:33,13,55,0.06914893617021277,0.2925531914893617,4.230769230769231,0.1822999617360834,63.973737311061676,1.4267508629735872,0.458186194409133,0.08575010844295473,50,True,,0.40888240555930533,0.6314319729059524
top20_biomarkers,pca_10,KMeans,6,188,20,10,0.9297288849745412,0:30;1:36;2:17;3:47;4:7;5:51,7,51,0.03723404255319149,0.2712765957446808,7.285714285714286,0.16849435664393006,51.207457393592875,1.5510275200825239,0.6790040152203484,0.1652840704461311,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.4238100258902625,-inf
top20_biomarkers,pca_10,GaussianMixture,6,188,20,10,0.9297288849745412,0:56;1:9;2:40;3:36;4:31;5:16,9,56,0.047872340425531915,0.2978723404255319,6.222222222222222,0.12556695160459935,43.72002578164447,1.9423236574551286,0.42670616149631135,0.10623032345270544,50,False,min_cluster_ratio < 0.05; not eligible for recommendation,0.43777562252811486,-inf
top20_biomarkers,pca_10,AgglomerativeClustering,6,188,20,10,0.9297288849745412,0:65;1:56;2:21;3:11;4:33;5:2,2,65,0.010638297872340425,0.34574468085106386,32.5,0.1852067423016751,46.54337926755585,1.560860647476123,0.6154042652881027,0.11471052436229927,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.45620531251728375,-inf
top50_biomarkers,pca_10,KMeans,6,188,50,10,0.8511492928436548,0:36;1:53;2:49;3:37;4:2;5:11,2,53,0.010638297872340425,0.28191489361702127,26.5,0.20544876394743392,51.46027987988359,1.3959268043855966,0.7421770307403014,0.1327988588221863,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.4130520339930334,-inf
top50_biomarkers,pca_10,GaussianMixture,6,188,50,10,0.8511492928436548,0:35;1:58;2:2;3:54;4:25;5:14,2,58,0.010638297872340425,0.30851063829787234,29.0,0.1988913672089899,46.39864435656239,1.4682474065950795,0.6090945064371894,0.11570567583893306,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.3760304623593264,-inf
top50_biomarkers,pca_10,AgglomerativeClustering,6,188,50,10,0.8511492928436548,0:75;1:14;2:48;3:47;4:2;5:2,2,75,0.010638297872340425,0.39893617021276595,37.5,0.2136572331439179,47.35975470707145,1.2569430096044714,0.6925874595849723,0.10279931060695113,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,0.3734310632173913,-inf
