feature,category,xgboost_importance_mean,xgboost_importance_std,rank_xgboost_importance,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
IMF_NSR_entropy,Wavelet,0.0050772326,0.006061277,58.0,0.02912606145490033,252,0,False,False
mean_5th_delta,Delta / Delta-delta,0.0050662355,0.003108946,59.0,0.0024609748380686773,252,0,False,False
tqwt_skewnessValue_dec_22,TQWT,0.004947296,0.005659649,60.0,0.008884794798969128,252,0,False,False
tqwt_skewnessValue_dec_24,TQWT,0.0048890035,0.0033739954,61.0,0.07653505322093752,252,0,False,False
tqwt_energy_dec_28,TQWT,0.004838018,0.0039718244,62.0,0.04930595189226657,252,0,False,False
std_10th_delta,Delta / Delta-delta,0.0047296886,0.0028473332,63.0,0.010080985566828982,252,0,False,False
tqwt_entropy_log_dec_16,TQWT,0.0047101853,0.0055786152,64.0,17673.043732044047,252,0,False,False
tqwt_stdValue_dec_16,TQWT,0.00469971,0.0065698237,65.0,0.11810264475912499,252,0,False,False
tqwt_skewnessValue_dec_3,TQWT,0.0046991115,0.0026988054,66.0,0.09681189419714974,252,0,False,False
tqwt_entropy_log_dec_1,TQWT,0.0046496033,0.003767864,67.0,274780.58555136004,252,0,False,False
tqwt_skewnessValue_dec_25,TQWT,0.004570258,0.003277768,68.0,0.16733850979797452,252,0,False,False
tqwt_kurtosisValue_dec_12,TQWT,0.0043818927,0.0054483316,69.0,22.638960153872596,252,0,False,False
tqwt_medianValue_dec_16,TQWT,0.004377801,0.003219898,70.0,0.00044283047063248634,178,0,False,False
tqwt_entropy_shannon_dec_25,TQWT,0.0042722262,0.0024937394,71.0,314.56976251996554,252,0,False,False
std_2nd_delta,Delta / Delta-delta,0.004270036,0.003562736,72.0,0.020026459242586385,252,0,False,False
tqwt_meanValue_dec_11,TQWT,0.004220673,0.004111778,73.0,4.540279266019237e-20,250,0,False,True
tqwt_energy_dec_21,TQWT,0.004207486,0.0043999925,74.0,0.03812992704606898,252,0,False,False
mean_10th_delta_delta,Delta / Delta-delta,0.004174255,0.00085079717,75.0,0.00018771044169963195,252,0,False,False
tqwt_entropy_log_dec_25,TQWT,0.0040623294,0.004042663,76.0,4165.99171331461,252,0,False,False
