feature,category,p_mannwhitney,q_mannwhitney,cohens_d,abs_cohens_d,cliffs_delta,abs_cliffs_delta,q_mannwhitney_scientific,subject_level_std,subject_level_unique_count,is_constant,is_near_constant,selected_folds,selection_frequency,mean_abs_l1_coefficient,l1_selected_any,l1_selected_near_constant,tree_importance_mean,tree_importance_std,permutation_importance_mean,permutation_importance_std_across_folds,permutation_importance_positive,xgboost_importance_mean,xgboost_importance_std,rank_xgboost_importance,shap_mean_abs_mean,shap_mean_abs_std,rank_shap_mean_abs,rank_q_mannwhitney,rank_abs_cohens_d,rank_abs_cliffs_delta,rank_selection_frequency,rank_permutation_importance,rank_tree_importance,mean_rank,rank_score,included_in_top10,included_in_top20,included_in_top50
std_10th_delta,Delta / Delta-delta,4.410002739183508e-09,1.1002270759723539e-07,0.8629162653938802,0.8629162653938802,0.4913563829787234,0.4913563829787234,1.100e-07,0.010080985566828982,252,False,False,2,0.4,0.06392482099071072,True,False,0.0038140062787381163,0.0008287323192214485,0.0,0.0,False,0.0047296886,0.0028473332,63.0,0.024567679,0.01607644,40.0,30.5,31.0,29.0,75.5,382.5,28.0,96.08333333333333,0.010407632263660017,False,True,True
tqwt_maxValue_dec_11,TQWT,3.3451338065075634e-09,9.316817120346992e-08,-1.0736611451247837,1.0736611451247837,-0.49517952127659576,0.49517952127659576,9.317e-08,0.05724136723373308,252,False,False,1,0.2,0.03340536117787401,True,False,0.004533399793169336,0.0008426002452208636,0.0,0.0,False,0.005165561,0.00889242,55.0,0.004702556,0.0064504086,134.0,27.0,3.0,27.0,127.0,382.5,18.0,97.41666666666667,0.010265183917878527,False,True,True
std_7th_delta,Delta / Delta-delta,5.181674130469079e-10,2.997399189317498e-08,0.9015919729062624,0.9015919729062624,0.520279255319149,0.520279255319149,2.997e-08,0.011828916751884024,252,False,False,1,0.2,0.11167343111053625,True,False,0.004278284542742018,0.001190081496210748,0.0,0.0,False,0.006622041,0.0053029736,35.0,0.08221401,0.09487678,6.0,12.5,26.0,13.0,127.0,382.5,25.0,97.66666666666667,0.010238907849829351,False,True,True
tqwt_kurtosisValue_dec_36,TQWT,2.7868128631775048e-08,5.239208182773709e-07,0.7898843430338406,0.7898843430338406,0.465093085106383,0.465093085106383,5.239e-07,29.402826898739306,252,False,False,2,0.4,0.032172787088052254,True,False,0.0043537085297502874,0.0018467927592392874,0.0,0.0,False,0.0058115795,0.0064931987,45.0,0.018066,0.02768181,55.0,40.0,47.0,40.0,75.5,382.5,24.0,101.5,0.009852216748768473,False,True,True
std_6th_delta,Delta / Delta-delta,2.594499741685962e-09,7.504091560568629e-08,0.8911841874773012,0.8911841874773012,0.49867021276595747,0.49867021276595747,7.504e-08,0.01316788492577514,252,False,False,1,0.2,0.0990142997366266,True,False,0.004435416417629627,0.0008679689793843899,0.0,0.0,False,0.007633234,0.0043424834,24.0,0.03858299,0.047248587,30.0,26.0,27.0,26.0,127.0,382.5,23.0,101.91666666666667,0.009811937857726901,False,True,True
tqwt_kurtosisValue_dec_27,TQWT,2.7101550599082942e-06,1.9786763155835313e-05,-1.0269834667907132,1.0269834667907132,-0.39286901595744683,0.39286901595744683,1.979e-05,37.08850984852903,251,False,False,4,0.8,0.26962656318783973,True,False,0.005693862482730949,0.0019357540306944724,0.0,0.0,False,0.0013040362,0.0029159137,216.0,0.002761723,0.0061754,193.0,103.0,8.0,103.0,21.0,382.5,5.0,103.75,0.00963855421686747,False,True,True
tqwt_energy_dec_12,TQWT,2.3021741379202344e-07,2.934296528332231e-06,-0.8479691647519396,0.8479691647519396,-0.4331781914893617,0.4331781914893617,2.934e-06,0.011263559896773849,252,False,False,1,0.2,0.014140690819242196,True,False,0.004770760689358114,0.0014893902193544764,0.0,0.0,False,0.00045008733,0.0010064258,318.0,0.000660532,0.0014769945,326.0,59.0,33.0,59.0,127.0,382.5,15.0,112.58333333333333,0.008882309400444115,False,True,True
DFA,Nonlinear,4.85002216108682e-07,5.190432394893818e-06,0.7789538176072653,0.7789538176072653,0.42137632978723405,0.42137632978723405,5.190e-06,0.06616222630518774,251,False,False,3,0.6,0.0648127876742807,True,False,0.0019496150304872714,0.0008022414234653086,0.0,0.0,False,0.007785313,0.0047805454,21.0,0.02307358,0.021844205,44.0,70.0,51.0,70.0,45.0,382.5,92.0,118.41666666666667,0.00844475721323012,False,True,True
tqwt_entropy_shannon_dec_17,TQWT,5.901034541816177e-07,5.916770633927687e-06,-0.7710980324462272,0.7710980324462272,-0.418218085106383,0.418218085106383,5.917e-06,475.37680090506956,252,False,False,1,0.2,0.021985627521952184,True,False,0.002360860664853045,0.001235174340048962,0.0,0.0,False,0.002266136,0.005067234,147.0,0.0036531412,0.008168672,163.0,75.0,56.0,75.0,127.0,382.5,53.0,128.08333333333334,0.0078074170461938834,False,True,True
tqwt_stdValue_dec_7,TQWT,3.4747935426764677e-07,4.148414703834555e-06,-0.7783675610831792,0.7783675610831792,-0.42669547872340424,0.42669547872340424,4.148e-06,0.005576135344642032,252,False,False,1,0.2,0.008737085585998556,True,False,0.0018838183370446068,0.000660236428329149,0.0,0.0,False,0.0,0.0,550.0,0.0,0.0,550.0,63.5,52.0,62.0,127.0,382.5,103.0,131.66666666666666,0.00759493670886076,False,True,True
tqwt_kurtosisValue_dec_18,TQWT,2.1435933312997e-08,4.2420583819404593e-07,0.6408610424769408,0.6408610424769408,0.4689162234042553,0.4689162234042553,4.242e-07,0.9505442648065496,252,False,False,3,0.6,0.05274254521314916,True,False,0.0016728344591713823,0.0005707446592605106,0.0,0.0,False,0.007408815,0.0021953278,25.0,0.072784565,0.082307,10.0,38.0,154.0,38.0,45.0,382.5,156.0,135.58333333333334,0.007375537799631223,False,False,True
tqwt_kurtosisValue_dec_35,TQWT,4.237587448345629e-07,4.75621755396405e-06,0.6567139791929718,0.6567139791929718,0.42353723404255317,0.42353723404255317,4.756e-06,11.497168524908826,252,False,False,1,0.2,0.04665931720304761,True,False,0.0028273347419942065,0.0008739894045667435,0.0,0.0,False,0.0067897155,0.010886928,31.0,0.007464523,0.01008166,108.0,66.5,132.0,66.5,127.0,382.5,44.0,136.41666666666666,0.007330482590103849,False,False,True
apq11Shimmer,Shimmer,3.511363940538689e-07,4.148414703834555e-06,0.6449127666951924,0.6449127666951924,0.4265292553191489,0.4265292553191489,4.148e-06,0.028503556830923312,250,False,False,1,0.2,0.03222883165622989,True,False,0.0029881345483136765,0.0008789344468956382,0.0,0.0,False,0.001014473,0.0022684305,245.0,0.003941371,0.0088131735,152.0,63.5,147.0,63.0,127.0,382.5,41.0,137.33333333333334,0.007281553398058252,False,False,True
tqwt_kurtosisValue_dec_28,TQWT,1.0023783179321526e-05,5.71054076664849e-05,-0.7758002974711621,0.7758002974711621,-0.3698470744680851,0.3698470744680851,5.711e-05,35.45120028460854,251,False,False,2,0.4,0.12533587209482558,True,False,0.0022805021313739384,0.00027482630666768223,0.0,0.0,False,0.0,0.0,550.0,0.0,0.0,550.0,130.0,53.0,131.0,75.5,382.5,58.0,138.33333333333334,0.007228915662650602,False,False,True
tqwt_kurtosisValue_dec_26,TQWT,3.0265951715918658e-05,0.00011211820537128488,-0.9834302082394015,0.9834302082394015,-0.34931848404255317,0.34931848404255317,1.121e-04,38.412282103906236,250,False,False,3,0.6,0.15259448001542508,True,False,0.006823667376210013,0.0023687740683990843,0.0,0.0,False,0.003884222,0.0041891765,81.0,0.019581523,0.026571766,52.0,203.0,11.0,203.0,45.0,382.5,2.0,141.08333333333334,0.0070880094506792675,False,False,True
tqwt_kurtosisValue_dec_20,TQWT,6.083111657927358e-08,1.0638372015724124e-06,0.6495271334670816,0.6495271334670816,0.4535405585106383,0.4535405585106383,1.064e-06,0.7375061873366606,250,False,False,2,0.4,0.03716971567417836,True,False,0.001655614918238268,0.0008738681917300703,0.0,0.0,False,0.010175621,0.007442543,12.0,0.08354702,0.0717334,5.0,43.0,142.0,43.0,75.5,382.5,165.0,141.83333333333334,0.007050528789659224,False,False,True
std_8th_delta_delta,Delta / Delta-delta,2.2619977285962288e-11,4.25255572976091e-09,1.0109701471021177,1.0109701471021177,0.5600066489361702,0.5600066489361702,4.253e-09,0.00461733108569369,252,False,False,0,0.0,0.0,False,False,0.0047352700195450945,0.0011586248430087405,0.0,0.0,False,0.012099459,0.003604956,7.0,0.22222105,0.06124428,1.0,4.0,9.0,4.0,456.5,382.5,16.0,145.33333333333334,0.006880733944954128,False,False,True
tqwt_stdValue_dec_12,TQWT,3.3211679622616046e-10,2.2704711887461153e-08,-1.0504297941194096,1.0504297941194096,-0.5260970744680851,0.5260970744680851,2.270e-08,0.027526241639717116,252,False,False,0,0.0,0.0,False,False,0.005066194027629423,0.001301006103480226,0.0,0.0,False,0.006961742,0.015566928,27.0,0.005586853,0.012492582,123.0,10.0,4.0,11.0,456.5,382.5,11.0,145.83333333333334,0.006857142857142857,False,False,True
tqwt_maxValue_dec_12,TQWT,1.4245646114826265e-09,5.052818896783107e-08,-1.0807162596652975,1.0807162596652975,-0.5068151595744681,0.5068151595744681,5.053e-08,0.08766160599587049,252,False,False,0,0.0,0.0,False,False,0.0054239420591614676,0.0011682937995799749,0.0,0.0,False,0.0069378824,0.013087388,28.0,0.010953907,0.0196482,83.0,21.5,2.0,21.0,456.5,382.5,8.0,148.58333333333334,0.006730229949523275,False,False,True
tqwt_entropy_log_dec_12,TQWT,1.1201899150725308e-10,1.4039713602242386e-08,-0.9720476530055832,0.9720476530055832,-0.5400598404255319,0.5400598404255319,1.404e-08,40196.01688188994,252,False,False,0,0.0,0.0,False,False,0.0036100870133002156,0.000702736801701185,0.0,0.0,False,0.019450795,0.013356217,2.0,0.050235093,0.034667164,21.0,6.0,14.0,6.0,456.5,382.5,30.0,149.16666666666666,0.00670391061452514,False,False,True
tqwt_entropy_shannon_dec_12,TQWT,3.2373532516815814e-10,2.2704711887461153e-08,-0.8847136214315179,0.8847136214315179,-0.5264295212765957,0.5264295212765957,2.270e-08,189.06706093962842,252,False,False,0,0.0,0.0,False,False,0.0048860279042451694,0.0010646040345952505,0.0,0.0,False,0.011449939,0.015808694,8.0,0.051596522,0.07132639,17.0,10.0,28.0,10.0,456.5,382.5,13.0,150.0,0.006666666666666667,False,False,True
std_10th_delta_delta,Delta / Delta-delta,6.340125006377648e-10,3.178516003197327e-08,0.9082905866366199,0.9082905866366199,0.5176196808510638,0.5176196808510638,3.179e-08,0.004764361229370594,252,False,False,0,0.0,0.0,False,False,0.0044824529729040555,0.0009564766242030279,0.0,0.0,False,0.005174202,0.0034765694,54.0,0.04337055,0.04365577,25.0,14.5,25.0,15.0,456.5,382.5,20.0,152.25,0.006568144499178982,False,False,True
tqwt_entropy_log_dec_33,TQWT,0.0005864034375347527,0.0015527302289652606,-0.5403727694870089,0.5403727694870089,-0.2878989361702128,0.2878989361702128,1.553e-03,864.6311079543106,252,False,False,2,0.4,0.10085334058603013,True,False,0.002360571922945357,0.0004723964990086896,0.007692307692307709,0.017200522903844575,True,0.006840902,0.004401377,30.0,0.043871325,0.026119752,24.0,284.0,212.0,284.0,75.5,8.0,54.0,152.91666666666666,0.006539509536784741,False,False,True
tqwt_minValue_dec_11,TQWT,1.626606406854277e-08,3.305967616093017e-07,1.0287606179106465,1.0287606179106465,0.472905585106383,0.472905585106383,3.306e-07,0.05930434994079044,252,False,False,0,0.0,0.0,False,False,0.005583767334117623,0.001667278125895201,0.0,0.0,False,0.010867901,0.010132406,10.0,0.020762343,0.015976176,47.0,37.0,7.0,37.0,456.5,382.5,6.0,154.33333333333334,0.0064794816414686825,False,False,True
tqwt_stdValue_dec_11,TQWT,4.571189560467644e-09,1.1002270759723539e-07,-1.0418580051504245,1.0418580051504245,-0.49085771276595747,0.49085771276595747,1.100e-07,0.0132697113858547,252,False,False,0,0.0,0.0,False,False,0.0044519159512144526,0.0012128990634742794,0.0,0.0,False,0.00071677065,0.0016027478,282.0,0.0035527654,0.007944225,167.0,30.5,5.0,31.0,456.5,382.5,22.0,154.58333333333334,0.006469002695417789,False,False,True
std_11th_delta_delta,Delta / Delta-delta,8.147491144458661e-10,3.6040666709605376e-08,0.925522704296184,0.925522704296184,0.5142952127659575,0.5142952127659575,3.604e-08,0.0039336276621706155,250,False,False,0,0.0,0.0,False,False,0.0031129382116999197,0.0004887938089680634,0.0,0.0,False,0.0027464319,0.003848693,122.0,0.0029920437,0.0045115934,182.0,16.5,22.0,17.0,456.5,382.5,35.0,154.91666666666666,0.006455083378160302,False,False,True
mean_delta_log_energy,Delta / Delta-delta,6.674511447101445e-07,6.518483906779592e-06,-0.4350794268955971,0.4350794268955971,-0.4162234042553192,0.4162234042553192,6.518e-06,0.0038365898807469654,252,False,False,3,0.6,0.1691607537042052,True,False,0.002056767837847627,0.0004760882332069954,0.0,0.0,False,0.006878216,0.00404514,29.0,0.073251866,0.05429598,9.0,77.0,278.0,77.0,45.0,382.5,79.0,156.41666666666666,0.006393180607352158,False,False,True
tqwt_maxValue_dec_13,TQWT,3.77317511514207e-09,1.0133670309238702e-07,-0.9513366173604472,0.9513366173604472,-0.49351728723404253,0.49351728723404253,1.013e-07,0.14673285248845624,252,False,False,0,0.0,0.0,False,False,0.003652173072379754,0.0010031686369119561,0.0,0.0,False,0.0,0.0,550.0,0.0,0.0,550.0,28.0,16.0,28.0,456.5,382.5,29.0,156.66666666666666,0.006382978723404256,False,False,True
tqwt_entropy_shannon_dec_13,TQWT,1.2747429561266455e-09,4.7930335150361865e-08,-0.8719799113332876,0.8719799113332876,-0.508311170212766,0.508311170212766,4.793e-08,351.7856662680903,252,False,False,0,0.0,0.0,False,False,0.00334098317833978,0.0008149839731518043,0.0,0.0,False,0.0,0.0,550.0,0.0,0.0,550.0,19.5,29.0,20.0,456.5,382.5,33.0,156.75,0.006379585326953748,False,False,True
tqwt_entropy_shannon_dec_11,TQWT,5.802045742100977e-09,1.322163150927253e-07,-0.945202236808772,0.945202236808772,-0.4875332446808511,0.4875332446808511,1.322e-07,71.19574580501374,252,False,False,0,0.0,0.0,False,False,0.004492973268193884,0.001610290901688824,0.0,0.0,False,0.0020264746,0.004531335,162.0,0.0031776235,0.0071053826,178.0,33.0,17.0,33.0,456.5,382.5,19.0,156.83333333333334,0.006376195536663124,False,False,True
tqwt_entropy_shannon_dec_35,TQWT,5.268339215823978e-05,0.00018090370275340785,-0.5733537209424501,0.5733537209424501,-0.3385970744680851,0.3385970744680851,1.809e-04,3.910448067496541,252,False,False,1,0.2,0.019016757390430048,True,False,0.0016315094876041291,0.0002792028758502327,0.007692307692307709,0.017200522903844575,True,0.0007130756,0.0015944855,284.0,0.0011008724,0.0024616255,284.0,219.0,196.0,219.0,127.0,8.0,173.0,157.0,0.006369426751592357,False,False,True
tqwt_stdValue_dec_13,TQWT,1.1123843064189906e-09,4.6472944357060046e-08,-0.92857415848284,0.92857415848284,-0.5101396276595744,0.5101396276595744,4.647e-08,0.05097187883501582,252,False,False,0,0.0,0.0,False,False,0.002552891715789606,0.000844087289989978,0.0,0.0,False,0.0077549815,0.010960036,23.0,0.014592128,0.021993669,67.0,18.0,21.0,18.0,456.5,382.5,48.0,157.33333333333334,0.00635593220338983,False,False,True
std_delta_log_energy,Delta / Delta-delta,2.0430789081690584e-12,7.68197669471566e-10,0.7221319220610507,0.7221319220610507,0.5887632978723404,0.5887632978723404,7.682e-10,0.02573179818241642,252,False,False,0,0.0,0.0,False,False,0.005276407895302001,0.001964993290538262,0.0,0.0,False,0.012640092,0.0039284425,5.0,0.057679255,0.043715216,16.0,1.5,95.0,2.0,456.5,382.5,9.0,157.75,0.006339144215530904,False,False,True
tqwt_entropy_log_dec_11,TQWT,1.2590764248707144e-09,4.7930335150361865e-08,-0.8631043155366398,0.8631043155366398,-0.5084773936170213,0.5084773936170213,4.793e-08,43594.07966711276,252,False,False,0,0.0,0.0,False,False,0.002993070401365598,0.0006501900982388733,0.0,0.0,False,0.009344274,0.007415111,16.0,0.06220944,0.056602832,14.0,19.5,30.0,19.0,456.5,382.5,40.0,157.91666666666666,0.00633245382585752,False,False,True
tqwt_minValue_dec_13,TQWT,4.516833791120802e-09,1.1002270759723539e-07,0.9585742107863514,0.9585742107863514,0.4910239361702128,0.4910239361702128,1.100e-07,0.14875148581775408,252,False,False,0,0.0,0.0,False,False,0.0031999991547089434,0.0008161860142073042,0.0,0.0,False,0.00080762926,0.001805914,269.0,0.0010919215,0.0024416107,285.0,30.5,15.0,30.0,456.5,382.5,34.0,158.08333333333334,0.0063257775434897206,False,False,True
tqwt_TKEO_mean_dec_12,TQWT,5.052269546335404e-10,2.997399189317498e-08,-0.7437640419662513,0.7437640419662513,-0.5206117021276596,0.5206117021276596,2.997e-08,0.004459978380606668,252,False,False,0,0.0,0.0,False,False,0.0042335137306610746,0.0009623398340217506,0.0,0.0,False,0.031482533,0.0089669265,1.0,0.041430246,0.012780918,26.0,12.5,65.0,12.0,456.5,382.5,26.0,159.08333333333334,0.0062860136196961755,False,False,True
tqwt_energy_dec_15,TQWT,6.395377030332123e-05,0.00021566473214393525,-0.7860372494138236,0.7860372494138236,-0.3347739361702128,0.3347739361702128,2.157e-04,0.04869269130014433,252,False,False,3,0.6,0.13182141353966678,True,False,0.002974264504050114,0.0006899739098281898,0.0,0.0,False,0.0010790231,0.002412769,237.0,0.0024650353,0.0055119866,202.0,223.0,49.0,223.0,45.0,382.5,42.0,160.75,0.006220839813374806,False,False,True
tqwt_entropy_log_dec_35,TQWT,1.6220252449773712e-05,6.739022012281675e-05,-0.683436045560597,0.683436045560597,-0.36103723404255317,0.36103723404255317,6.739e-05,718.2643483755425,252,False,False,0,0.0,0.0,False,False,0.003038628683712643,0.001270403029248958,0.007692307692307709,0.017200522903844575,True,0.0051461733,0.005625067,57.0,0.0043053823,0.004417311,147.0,180.5,113.0,180.5,456.5,8.0,37.0,162.58333333333334,0.0061506919528446944,False,False,True
std_11th_delta,Delta / Delta-delta,7.985679559940384e-09,1.7157802940214766e-07,0.8626086706706424,0.8626086706706424,0.48304521276595747,0.48304521276595747,1.716e-07,0.00861699706466596,250,False,False,0,0.0,0.0,False,False,0.0028967366881141043,0.00031861643230095667,0.0,0.0,False,0.0011115272,0.0018306392,231.0,0.0025111835,0.00354012,200.0,34.5,32.0,35.0,456.5,382.5,43.0,163.91666666666666,0.006100660904931368,False,False,True
std_12th_delta_delta,Delta / Delta-delta,1.189296103883197e-08,2.4843074170004557e-07,0.8370335635270686,0.8370335635270686,0.4773936170212766,0.4773936170212766,2.484e-07,0.003797504165142989,251,False,False,0,0.0,0.0,False,False,0.0025812399641355183,0.0007626369062816814,0.0,0.0,False,0.0,0.0,550.0,0.0,0.0,550.0,36.0,36.0,36.0,456.5,382.5,46.0,165.5,0.006042296072507553,False,False,True
