feature,category,shap_mean_abs_mean,shap_mean_abs_std,rank_shap_mean_abs,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
tqwt_medianValue_dec_7,TQWT,0.0021382417,0.004781254,225.0,1.3091522495184385e-05,252,0,False,False
meanNoiseToHarmHarmonicity,HNR / Harmonicity,0.0021299166,0.0047626384,226.0,0.09628323015426693,252,0,False,False
tqwt_skewnessValue_dec_29,TQWT,0.0021090233,0.00471592,227.0,0.9758279927786497,252,0,False,False
mean_MFCC_7th_coef,MFCC,0.0020975755,0.0029556917,228.0,0.7733665997897692,252,0,False,False
tqwt_medianValue_dec_6,TQWT,0.0020785343,0.0030923337,229.0,8.69080043396495e-06,251,0,False,False
tqwt_entropy_log_dec_18,TQWT,0.0020695888,0.004627741,230.0,11018.302519649656,252,0,False,False
tqwt_medianValue_dec_15,TQWT,0.002062515,0.004611924,231.0,0.0010993603289846385,252,0,False,False
tqwt_TKEO_mean_dec_35,TQWT,0.0020401562,0.004561928,232.0,0.014486362773584768,251,0,False,False
tqwt_kurtosisValue_dec_31,TQWT,0.002031298,0.0045421203,233.0,16.037014732622993,252,0,False,False
tqwt_minValue_dec_19,TQWT,0.0020012578,0.004474949,234.0,0.324530636933468,252,0,False,False
tqwt_TKEO_mean_dec_9,TQWT,0.0019959921,0.0044631744,235.0,0.0005385639703832817,252,0,False,False
tqwt_medianValue_dec_18,TQWT,0.0019524168,0.0026871266,236.0,0.0006802083723792346,252,0,False,False
tqwt_entropy_shannon_dec_16,TQWT,0.0019511547,0.0043629147,237.0,504.9913671327967,252,0,False,False
tqwt_energy_dec_30,TQWT,0.0019463978,0.004352278,238.0,0.004745357458337687,251,0,False,False
tqwt_meanValue_dec_34,TQWT,0.0019408412,0.004339853,239.0,4.071259557301223e-19,247,0,False,True
tqwt_meanValue_dec_7,TQWT,0.0019181505,0.0042891144,240.0,1.873717242756284e-20,252,0,False,True
tqwt_energy_dec_8,TQWT,0.0019171176,0.0042868056,241.0,0.0028889583979849224,252,0,False,False
tqwt_medianValue_dec_2,TQWT,0.0019072592,0.00303916,242.0,2.235990351654676e-06,252,0,False,False
det_LT_entropy_shannon_3_coef,Wavelet,0.0019037994,0.0042570247,243.0,0.7992280993454524,252,0,False,False
tqwt_skewnessValue_dec_15,TQWT,0.0018572885,0.0025459614,244.0,0.019024547247342816,252,0,False,False
tqwt_TKEO_std_dec_25,TQWT,0.0018353587,0.004103987,245.0,0.21517152950789153,251,0,False,False
mean_10th_delta,Delta / Delta-delta,0.0018336797,0.0041002324,246.0,0.0016521593786676463,252,0,False,False
tqwt_entropy_log_dec_34,TQWT,0.0018271629,0.0040856604,247.0,800.7077750855331,252,0,False,False
std_12th_delta,Delta / Delta-delta,0.0017148234,0.0038344616,248.0,0.008286445446454242,252,0,False,False
tqwt_TKEO_std_dec_21,TQWT,0.0016918583,0.00378311,249.0,0.05441643078724491,252,0,False,False
std_1st_delta,Delta / Delta-delta,0.0016913458,0.0037819643,250.0,0.034655887351023706,252,0,False,False
tqwt_TKEO_std_dec_20,TQWT,0.0016646732,0.0022795214,251.0,0.07281173724697083,252,0,False,False
tqwt_entropy_log_dec_9,TQWT,0.0016541851,0.0036988703,252.0,61088.5487438424,252,0,False,False
det_TKEO_std_1_coef,Other,0.0016175272,0.0036169009,253.0,1377.2916541503412,252,0,False,False
tqwt_kurtosisValue_dec_14,TQWT,0.0016162513,0.0036140478,254.0,2.0597153892034994,251,0,False,False
tqwt_TKEO_mean_dec_27,TQWT,0.0015852082,0.0035446335,255.0,0.878890019549485,252,0,False,False
std_MFCC_10th_coef,MFCC,0.0015666891,0.0023566925,256.0,0.06517429308432153,252,0,False,False
tqwt_TKEO_mean_dec_3,TQWT,0.0015633747,0.003495812,257.0,5.1879844877317165e-05,247,0,False,False
tqwt_medianValue_dec_35,TQWT,0.0015540814,0.0034750318,258.0,0.0011533428511042042,252,0,False,False
det_entropy_shannon_5_coef,Wavelet,0.0015377476,0.0034385081,259.0,508628.05207926064,252,0,False,False
tqwt_skewnessValue_dec_1,TQWT,0.0015357254,0.0021672337,260.0,6.048271192427671,252,0,False,False
tqwt_entropy_log_dec_7,TQWT,0.0015087358,0.0033736357,261.0,99428.90493287287,252,0,False,False
det_entropy_log_8_coef,Wavelet,0.001504392,0.0033639227,262.0,28.30385753607218,252,0,False,False
app_entropy_shannon_3_coef,Wavelet,0.0015033463,0.0033615846,263.0,79414250.991226,252,0,False,False
tqwt_meanValue_dec_19,TQWT,0.0014822242,0.0033143542,264.0,9.57762728915303e-19,251,0,False,True
tqwt_TKEO_std_dec_23,TQWT,0.0014721494,0.003291826,265.0,0.09963041210697704,252,0,False,False
PPE,Nonlinear,0.0014676421,0.002564944,266.0,0.11975199146281733,252,0,False,False
mean_6th_delta,Delta / Delta-delta,0.0014639526,0.0032734976,267.0,0.002419019153569761,252,0,False,False
tqwt_kurtosisValue_dec_16,TQWT,0.0014618149,0.003268717,268.0,1.148412061120188,252,0,False,False
tqwt_stdValue_dec_33,TQWT,0.0014334313,0.0032052498,269.0,0.05442805797147073,252,0,False,False
mean_1st_delta,Delta / Delta-delta,0.0014210322,0.0031775248,270.0,0.003398704052221194,252,0,False,False
app_entropy_shannon_5_coef,Wavelet,0.0014078657,0.0019332055,271.0,183249497.61009693,252,0,False,False
tqwt_TKEO_mean_dec_23,TQWT,0.0014014752,0.0031337938,272.0,0.17006966234367005,252,0,False,False
mean_MFCC_0th_coef,MFCC,0.0013431445,0.0030033623,273.0,2.127666396592989,252,0,False,False
det_LT_entropy_shannon_5_coef,Wavelet,0.0013307093,0.0029755565,274.0,2.710752778966411,252,0,False,False
meanAutoCorrHarmonicity,HNR / Harmonicity,0.0013183833,0.0029479947,275.0,0.05936149591717223,252,0,False,False
tqwt_stdValue_dec_36,TQWT,0.0013136307,0.0029373677,276.0,0.08343143958614506,252,0,False,False
tqwt_entropy_shannon_dec_4,TQWT,0.0012956228,0.0028971005,277.0,28.73416550679212,252,0,False,False
tqwt_energy_dec_33,TQWT,0.0012383553,0.0019619367,278.0,0.006074726430650559,251,0,False,False
app_LT_TKEO_std_4_coef,Wavelet,0.0012234254,0.0027356623,279.0,11.926963192750385,252,0,False,False
app_LT_TKEO_mean_1_coef,Wavelet,0.0011902477,0.0026614747,280.0,0.14122723954393165,251,0,False,False
det_TKEO_mean_5_coef,Other,0.0011553419,0.002583423,281.0,2115.2177307129255,252,0,False,False
tqwt_skewnessValue_dec_2,TQWT,0.0011337384,0.001559195,282.0,2.0450879208562367,252,0,False,False
