run,weight_silhouette,weight_calinski_harabasz,weight_davies_bouldin,weight_stability_ari,weight_balance,top1_candidate_id,top1_feature_set,top1_representation,top1_method,top1_score
1,0.46338183403983246,0.16382941033556858,0.20669970545107055,0.028235333349897977,0.13785371682363046,pd_high_iqr_top50|pca_5|AgglomerativeClustering|k2,pd_high_iqr_top50,pca_5,AgglomerativeClustering,0.8907878602442554
2,0.49848822668938375,0.10273068186098351,0.18967334937897648,0.15340379683966932,0.055703945230986956,pd_high_iqr_top50|pca_5|AgglomerativeClustering|k2,pd_high_iqr_top50,pca_5,AgglomerativeClustering,0.9361325205015433
3,0.11440130101981023,0.36193440445474023,0.008375702795563995,0.22281527486527353,0.292473316864612,top20_biomarkers|pca_5|KMeans|k2,top20_biomarkers,pca_5,KMeans,0.8631340439988588
4,0.06482647439276615,0.22586053555605534,0.3436450493761569,0.23836299177201625,0.12730494890300528,top20_biomarkers|pca_5|KMeans|k2,top20_biomarkers,pca_5,KMeans,0.9129987488154172
5,0.41594858257659406,0.04101341024800392,0.08584128161876195,0.12329432631334905,0.33390239924329107,top50_biomarkers|pca_5|KMeans|k2,top50_biomarkers,pca_5,KMeans,0.7952315732623016
6,0.1817853629178704,0.07217628728852701,0.4122800461390375,0.07210859442546538,0.2616497092290997,top20_biomarkers|pca_5|KMeans|k2,top20_biomarkers,pca_5,KMeans,0.8432475886749243
7,0.1729797488746147,0.11514941113207562,0.3202542601424456,0.136838726677398,0.25477785317346613,top20_biomarkers|pca_5|KMeans|k2,top20_biomarkers,pca_5,KMeans,0.851907477781887
8,0.19864126710275812,0.035085784005593125,0.18302000614236993,0.44181348180027546,0.14143946094900342,top20_biomarkers|pca_5|KMeans|k2,top20_biomarkers,pca_5,KMeans,0.8966153007493859
9,0.013250697032417833,0.8303028291654909,0.1075544124194812,0.011876288179363292,0.03701577320324688,pd_high_mad_top50|pca_5|KMeans|k2,pd_high_mad_top50,pca_5,KMeans,0.975256615380621
10,0.4999617340604765,0.24481499604913268,0.015480845275042126,0.1220839103330237,0.11765851428232499,pd_high_iqr_top50|pca_5|AgglomerativeClustering|k2,pd_high_iqr_top50,pca_5,AgglomerativeClustering,0.8865961470390332
11,0.4378153066668049,0.18224970336493834,0.06561175234244493,0.16281274579189273,0.15151049183391901,pd_high_iqr_top50|pca_5|AgglomerativeClustering|k2,pd_high_iqr_top50,pca_5,AgglomerativeClustering,0.8642633940383899
12,0.11527264760887992,0.10225228969158688,0.24337669994359226,0.07995065542397783,0.45914770733196325,top50_biomarkers|pca_5|KMeans|k2,top50_biomarkers,pca_5,KMeans,0.8660857230540028
