candidate_id,feature_set,representation,method,k,n_features_original,n_components_after_transform,cluster_sizes,min_cluster_size,min_cluster_ratio,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,stability_ari_norm,balance_norm,top1_count,top1_frequency,top3_count,top3_frequency
pd_high_iqr_top50|scaled_only|KMeans|k2,pd_high_iqr_top50,scaled_only,KMeans,2,50,50,0:42;1:146,42,0.22340425531914893,0.22340425531914893,0.38943771882869793,100.61598702790941,1.014660314758697,0.9236205446633486,0.8446775304094066,0.8756521293405568,0.9570146074539518,0.9291106066175582,0.44680851063829785,0,0.0,0,0.0
pd_high_iqr_top50|pca_10|KMeans|k2,pd_high_iqr_top50,pca_10,KMeans,2,50,10,0:42;1:146,42,0.22340425531914893,0.22340425531914893,0.39532828426854666,102.58965528752289,1.0000417235074213,0.9236205446633486,0.860006639211349,0.8947762881193955,0.9625481853669231,0.9291106066175582,0.44680851063829785,0,0.0,0,0.0
pd_corr_reduced_all_095|pca_10|KMeans|k2,pd_corr_reduced_all_095,pca_10,KMeans,2,425,10,0:97;1:91,91,0.48404255319148937,0.48404255319148937,0.20038966525243174,42.39504692038605,1.8208061201122159,0.8967855933937595,0.35271488070146145,0.3115114752837351,0.6518640942162747,0.9003255641055999,0.9680851063829787,0,0.0,0,0.0
top20_biomarkers|scaled_only|AgglomerativeClustering|k2,top20_biomarkers,scaled_only,AgglomerativeClustering,2,20,20,0:133;1:55,55,0.2925531914893617,0.2925531914893617,0.29720611869898494,74.9373970652086,1.3022958137887433,0.8955559394711156,0.6046618226131231,0.6268355264127893,0.8481358915051622,0.8990065514462249,0.5851063829787234,0,0.0,0,0.0
pd_high_mad_top100|pca_10|KMeans|k2,pd_high_mad_top100,pca_10,KMeans,2,100,10,0:49;1:139,49,0.26063829787234044,0.26063829787234044,0.3190674149165407,72.66214962191984,1.296497583239097,0.8951540151528414,0.6615518090995496,0.6047891702662287,0.850330696733131,0.8985754193576333,0.5212765957446809,0,0.0,0,0.0
pd_high_mad_top100|pca_90|KMeans|k2,pd_high_mad_top100,pca_90,KMeans,2,100,9,0:49;1:139,49,0.26063829787234044,0.26063829787234044,0.32293781411881994,73.83684594126345,1.2844947701913374,0.8921590610694673,0.6716238083132979,0.6161715689133267,0.8548741236634659,0.8953628224818199,0.5212765957446809,0,0.0,0,0.0
pd_high_iqr_top100|pca_10|KMeans|k2,pd_high_iqr_top100,pca_10,KMeans,2,100,10,0:139;1:49,49,0.26063829787234044,0.26063829787234044,0.3226574635254374,70.90001240208233,1.278248988541584,0.8917835960553677,0.6708942476637246,0.587714673669281,0.8572383404879359,0.8949600724904362,0.5212765957446809,0,0.0,0,0.0
pd_high_iqr_top100|pca_90|KMeans|k2,pd_high_iqr_top100,pca_90,KMeans,2,100,8,0:139;1:49,49,0.26063829787234044,0.26063829787234044,0.33092668763418126,73.4568093701706,1.248526759582609,0.8915981266613215,0.6924133764069638,0.6124891467575545,0.8684891010341892,0.8947611250677764,0.5212765957446809,0,0.0,0,0.0
pd_corr_reduced_all_095|pca_90|KMeans|k2,pd_corr_reduced_all_095,pca_90,KMeans,2,425,78,0:96;1:92,92,0.48936170212765956,0.48936170212765956,0.09499514857996788,19.41575613809741,2.8699957723313907,0.8905300198344783,0.07844511327454635,0.08885014230386716,0.254714150952672,0.893615399103562,0.9787234042553191,0,0.0,0,0.0
pd_high_mad_top100|pca_20|KMeans|k2,pd_high_mad_top100,pca_20,KMeans,2,100,20,0:49;1:139,49,0.26063829787234044,0.26063829787234044,0.29918677243571173,66.84016727378611,1.3650820679449662,0.8884703683672209,0.6098161082142756,0.5483761868324724,0.8243693996958539,0.8914060731223366,0.5212765957446809,0,0.0,0,0.0
