feature,category,p_mannwhitney,q_mannwhitney,cohens_d,abs_cohens_d,cliffs_delta,abs_cliffs_delta,q_mannwhitney_scientific,subject_level_std,subject_level_unique_count,is_constant,is_near_constant,selected_folds,selection_frequency,mean_abs_l1_coefficient,l1_selected_any,l1_selected_near_constant,tree_importance_mean,tree_importance_std,permutation_importance_mean,permutation_importance_std_across_folds,permutation_importance_positive,rank_q_mannwhitney,rank_abs_cohens_d,rank_abs_cliffs_delta,rank_selection_frequency,rank_permutation_importance,rank_tree_importance,mean_rank,rank_score,included_in_top10,included_in_top20,included_in_top50
det_TKEO_std_2_coef,Other,0.34007645032869394,0.4319890044715842,-0.08397906350655876,0.08397906350655876,0.07995345744680851,0.07995345744680851,4.320e-01,1796.8203224503177,252,False,False,0,0.0,0.0,False,False,0.000568877521276842,0.000142781109883145,0.0,0.0,False,592.0,610.0,592.0,456.5,382.5,660.0,548.8333333333334,0.0018220467658669904,False,False,False
tqwt_skewnessValue_dec_22,TQWT,0.5258492216875768,0.6102447757855829,-0.03569756752419538,0.03569756752419538,0.05319148936170213,0.05319148936170213,6.102e-01,0.008884794798969128,252,False,False,0,0.0,0.0,False,False,0.0009822866369043764,0.0003345454205426045,0.0,0.0,False,647.0,690.0,647.5,456.5,382.5,473.0,549.4166666666666,0.0018201122402548159,False,False,False
tqwt_meanValue_dec_14,TQWT,0.655787893993683,0.7188811899172735,-0.03937742216974692,0.03937742216974692,-0.03740026595744681,0.03740026595744681,7.189e-01,2.486242985627415e-19,252,False,True,1,0.2,0.0059259408445847764,True,True,0.0,0.0,0.0,0.0,False,686.0,681.0,686.0,127.0,382.5,735.0,549.5833333333334,0.0018195602729340408,False,False,False
tqwt_energy_dec_2,TQWT,0.7825640115478529,0.8265282818595301,0.12418354178002122,0.12418354178002122,0.02318816489361702,0.02318816489361702,8.265e-01,0.0025221809312868846,250,False,False,0,0.0,0.0,False,False,0.0009553458858772453,0.00023479761519900743,0.0,0.0,False,712.0,543.0,712.0,456.5,382.5,494.0,550.0,0.0018181818181818182,False,False,False
tqwt_maxValue_dec_21,TQWT,0.5994757618747815,0.6728444372087099,0.017712608411272156,0.017712608411272156,-0.04404920212765957,0.04404920212765957,6.728e-01,0.2368504859854458,252,False,False,0,0.0,0.0,False,False,0.001100388327547126,0.00022263411626310554,0.0,0.0,False,668.5,720.0,669.0,456.5,382.5,406.0,550.4166666666666,0.0018168054504163515,False,False,False
VFER_NSR_TKEO,Other,0.4784423151845253,0.5683864471070506,-0.10267204763403202,0.10267204763403202,-0.0594248670212766,0.0594248670212766,5.684e-01,0.06722702716110025,249,False,False,0,0.0,0.0,False,False,0.0006813467170144558,0.0002642187629160605,0.0,0.0,False,633.0,576.0,633.0,456.5,382.5,625.0,551.0,0.0018148820326678765,False,False,False
det_TKEO_std_6_coef,Other,0.18639316504887593,0.2600513174707879,0.005877899746805856,0.005877899746805856,0.11070478723404255,0.11070478723404255,2.601e-01,7803.653123589384,252,False,False,0,0.0,0.0,False,False,0.0006022736301272748,0.00028575665594828177,0.0,0.0,False,538.5,741.0,538.5,456.5,382.5,653.0,551.6666666666666,0.001812688821752266,False,False,False
mean_9th_delta,Delta / Delta-delta,0.7008400135480083,0.7539795281660977,-0.04772083159131409,0.04772083159131409,-0.032247340425531915,0.032247340425531915,7.540e-01,0.001877781134981663,252,False,False,0,0.0,0.0,False,False,0.0010801034769140718,0.00038519937962626035,0.0,0.0,False,699.0,666.0,699.0,456.5,382.5,411.0,552.3333333333334,0.0018105009052504525,False,False,False
mean_delta_delta_log_energy,Delta / Delta-delta,0.6443540086662165,0.7084125943230919,-0.08435768831885203,0.08435768831885203,0.03873005319148936,0.03873005319148936,7.084e-01,0.00029097370415902447,252,False,False,0,0.0,0.0,False,False,0.000934704706397918,0.00031393888199753966,0.0,0.0,False,684.0,606.0,684.0,456.5,382.5,503.0,552.6666666666666,0.0018094089264173705,False,False,False
tqwt_meanValue_dec_15,TQWT,0.8980997013889991,0.9213792298015379,0.04828837417100927,0.04828837417100927,0.010804521276595746,0.010804521276595746,9.214e-01,4.1322424412978595e-19,252,False,True,2,0.4,0.022663136794212602,True,True,0.0,0.0,0.0,0.0,False,733.0,665.0,733.0,75.5,382.5,735.0,554.0,0.0018050541516245488,False,False,False
det_entropy_shannon_6_coef,Wavelet,0.20067533607059207,0.2774041410387596,0.01549570105813711,0.01549570105813711,-0.10721409574468085,0.10721409574468085,2.774e-01,707616.9356206914,252,False,False,0,0.0,0.0,False,False,0.00047707905031810796,0.00012058203892587238,0.0,0.0,False,544.0,725.0,544.0,456.5,382.5,684.0,556.0,0.0017985611510791368,False,False,False
tqwt_TKEO_mean_dec_22,TQWT,0.40490053051657804,0.4950978844690515,-0.05163294349791272,0.05163294349791272,-0.06981382978723404,0.06981382978723404,4.951e-01,0.10772446600903253,252,False,False,0,0.0,0.0,False,False,0.0007243259587274596,0.000295793536462364,0.0,0.0,False,615.0,661.0,615.0,456.5,382.5,607.0,556.1666666666666,0.0017980221756068327,False,False,False
tqwt_skewnessValue_dec_31,TQWT,0.9169814910616486,0.9331124239220024,0.20637063188880167,0.20637063188880167,-0.008809840425531915,0.008809840425531915,9.331e-01,0.7303213715053664,252,False,False,0,0.0,0.0,False,False,0.0007725647784398617,0.00018696274422073933,0.0,0.0,False,738.0,451.0,738.0,456.5,382.5,583.0,558.1666666666666,0.001791579575992834,False,False,False
det_TKEO_mean_7_coef,Other,0.32717240731422426,0.4177141770802999,0.04862491358775461,0.04862491358775461,0.08211436170212766,0.08211436170212766,4.177e-01,4529.687848811642,252,False,False,0,0.0,0.0,False,False,0.0005197101640708928,0.00013183487990811281,0.0,0.0,False,589.0,664.0,589.0,456.5,382.5,672.0,558.8333333333334,0.0017894422904861317,False,False,False
det_TKEO_std_7_coef,Other,0.3512465412347281,0.4409639382446002,0.0455649872757482,0.0455649872757482,0.078125,0.078125,4.410e-01,10720.156409372325,252,False,False,0,0.0,0.0,False,False,0.0005778765474986724,0.00011120452552253645,0.0,0.0,False,598.0,671.0,598.5,456.5,382.5,659.0,560.9166666666666,0.0017827960184222257,False,False,False
det_entropy_log_8_coef,Wavelet,0.5091473600892227,0.5963844467088714,0.04440872821887767,0.04440872821887767,0.055352393617021274,0.055352393617021274,5.964e-01,28.30385753607218,252,False,False,0,0.0,0.0,False,False,0.0008037950645767061,0.0003813643883244194,0.0,0.0,False,642.0,672.0,642.0,456.5,382.5,573.0,561.3333333333334,0.0017814726840855106,False,False,False
det_entropy_shannon_7_coef,Wavelet,0.3340807223042622,0.4250908683126991,-0.05534468702196525,0.05534468702196525,-0.08095079787234043,0.08095079787234043,4.251e-01,865091.4138097117,252,False,False,0,0.0,0.0,False,False,0.00043044252292152803,0.00010975050975010814,0.0,0.0,False,590.5,647.0,591.0,456.5,382.5,703.0,561.75,0.0017801513128615932,False,False,False
tqwt_meanValue_dec_29,TQWT,0.38995170408995994,0.48151671835082077,0.09669903925005986,0.09669903925005986,0.07205784574468085,0.07205784574468085,4.815e-01,5.549944984614855e-19,251,False,True,0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,False,609.0,584.0,609.0,456.5,382.5,735.0,562.6666666666666,0.0017772511848341234,False,False,False
tqwt_maxValue_dec_30,TQWT,0.4914764726373194,0.5792951527010411,-0.03255409692650485,0.03255409692650485,-0.057679521276595744,0.057679521276595744,5.793e-01,0.1744959569834778,252,False,False,0,0.0,0.0,False,False,0.0008019717048753181,0.0002965919587487525,0.0,0.0,False,638.0,697.0,638.0,456.5,382.5,574.0,564.3333333333334,0.0017720023626698169,False,False,False
tqwt_energy_dec_23,TQWT,0.7319805930740342,0.7785705883899204,0.001114671757717914,0.001114671757717914,0.028756648936170214,0.028756648936170214,7.786e-01,0.0582351339540457,252,False,False,0,0.0,0.0,False,False,0.0011509161424355864,0.00033249121657871175,0.0,0.0,False,707.0,750.0,707.0,456.5,382.5,385.0,564.6666666666666,0.0017709563164108619,False,False,False
