dataset,dataset_display_name,feature_set,model,level,fold,summary,tn,fp,fn,tp
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,subject,4,fold,6,7,2,36
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),record,4,fold,18,21,6,107
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),subject,4,fold,6,7,1,37
dataset1,Dataset 1,acoustic_only,Logistic Regression,record,5,fold,17,22,12,99
dataset1,Dataset 1,acoustic_only,Logistic Regression,subject,5,fold,6,7,5,32
dataset1,Dataset 1,acoustic_only,SVM-RBF,record,5,fold,20,19,15,96
dataset1,Dataset 1,acoustic_only,SVM-RBF,subject,5,fold,5,8,5,32
dataset1,Dataset 1,acoustic_only,Random Forest,record,5,fold,6,33,10,101
dataset1,Dataset 1,acoustic_only,Random Forest,subject,5,fold,3,10,3,34
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),record,5,fold,11,28,5,106
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),subject,5,fold,4,9,2,35
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,record,5,fold,17,22,12,99
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,subject,5,fold,6,7,5,32
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,record,5,fold,19,20,16,95
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,subject,5,fold,5,8,5,32
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,record,5,fold,9,30,10,101
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,subject,5,fold,3,10,3,34
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),record,5,fold,12,27,8,103
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),subject,5,fold,4,9,3,34
dataset2,Dataset 2,acoustic_only,Logistic Regression,record,1,fold,18,6,2,22
dataset2,Dataset 2,acoustic_only,Logistic Regression,subject,1,fold,6,2,0,8
dataset2,Dataset 2,acoustic_only,SVM-RBF,record,1,fold,22,2,3,21
dataset2,Dataset 2,acoustic_only,SVM-RBF,subject,1,fold,8,0,1,7
dataset2,Dataset 2,acoustic_only,Random Forest,record,1,fold,22,2,5,19
dataset2,Dataset 2,acoustic_only,Random Forest,subject,1,fold,8,0,2,6
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),record,1,fold,22,2,6,18
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),subject,1,fold,8,0,2,6
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,record,1,fold,20,4,5,19
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,subject,1,fold,7,1,1,7
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,record,1,fold,23,1,1,23
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,subject,1,fold,8,0,1,7
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,record,1,fold,24,0,5,19
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,subject,1,fold,8,0,2,6
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),record,1,fold,22,2,4,20
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),subject,1,fold,8,0,2,6
dataset2,Dataset 2,acoustic_only,Logistic Regression,record,2,fold,19,5,7,17
