feature,category,selected_folds,selection_frequency,mean_abs_l1_coefficient,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant,l1_selected_any,l1_selected_near_constant
tqwt_medianValue_dec_5,TQWT,3,0.6,0.04273100563915559,5.694648480784122e-06,179,0,False,False,True,False
tqwt_skewnessValue_dec_21,TQWT,3,0.6,0.03857948571288865,0.00664897571309784,252,0,False,False,True,False
tqwt_meanValue_dec_24,TQWT,3,0.6,0.026427248929958274,5.036225157673655e-19,249,0,False,True,True,True
tqwt_TKEO_std_dec_11,TQWT,2,0.4,0.1672320241008019,0.0016180764896734144,252,0,False,False,True,False
tqwt_medianValue_dec_36,TQWT,2,0.4,0.16068617251769474,0.0073888910563004425,251,0,False,False,True,False
tqwt_kurtosisValue_dec_28,TQWT,2,0.4,0.12533587209482558,35.45120028460854,251,0,False,False,True,False
tqwt_entropy_log_dec_33,TQWT,2,0.4,0.10085334058603013,864.6311079543106,252,0,False,False,True,False
std_9th_delta,Delta / Delta-delta,2,0.4,0.08054507712453307,0.009858824007424775,252,0,False,False,True,False
GQ_prc5_95,Other,2,0.4,0.07976804176162136,0.10066992574016731,159,0,False,False,True,False
tqwt_meanValue_dec_7,TQWT,2,0.4,0.07801819008532468,1.873717242756284e-20,252,0,False,True,True,True
tqwt_medianValue_dec_14,TQWT,2,0.4,0.07675536204906115,0.0006031927655959487,252,0,False,False,True,False
tqwt_energy_dec_24,TQWT,2,0.4,0.06581002002930218,0.08640103879984296,252,0,False,False,True,False
std_10th_delta,Delta / Delta-delta,2,0.4,0.06392482099071072,0.010080985566828982,252,0,False,False,True,False
tqwt_medianValue_dec_1,TQWT,2,0.4,0.0612241192119522,1.4706389855037521e-06,250,0,False,False,True,False
tqwt_medianValue_dec_12,TQWT,2,0.4,0.06063784656259765,4.1909526755997594e-05,252,0,False,False,True,False
tqwt_stdValue_dec_33,TQWT,2,0.4,0.05920972498430042,0.05442805797147073,252,0,False,False,True,False
tqwt_maxValue_dec_25,TQWT,2,0.4,0.056426952645328265,0.5277268211376133,252,0,False,False,True,False
tqwt_maxValue_dec_6,TQWT,2,0.4,0.053056183611338945,0.0419294570171402,252,0,False,False,True,False
